model,corruption,severity_count,pooled_prediction_count,macro_accuracy,mean_severity_micro_accuracy,micro_accuracy,macro_bacc,mean_severity_micro_bacc,micro_bacc,macro_real_accuracy,mean_severity_micro_real_accuracy,micro_real_accuracy,macro_fake_accuracy,mean_severity_micro_fake_accuracy,micro_fake_accuracy,macro_f1_score,mean_severity_micro_f1_score,micro_f1_score
classification_only,gaussian,3,6723,0.9677161080320226,0.9742674401308938,0.974267440130894,0.9676034674867408,0.9745219798928622,0.9745219798928622,0.9697191358024692,0.9788108791903859,0.9788108791903858,0.9654877991710121,0.9702330805953384,0.9702330805953384,0.970439795452819,0.9755815823467519,0.9755753211915855
classification_only,defocus,3,6723,0.9360999384182281,0.9376766324557488,0.937676632455749,0.9334766457191246,0.9358528801633978,0.9358528801633978,0.9015802469135803,0.905123339658444,0.905123339658444,0.9653730445246692,0.9665824206683515,0.9665824206683515,0.9419196780035803,0.9430514512302315,0.9426263179515267
classification_only,box,3,6723,0.9059879035805402,0.8988546779711438,0.8988546779711438,0.8997667134643669,0.8947409928452181,0.8947409928452181,0.8330555555555555,0.8254269449715371,0.825426944971537,0.9664778713731782,0.9640550407188991,0.9640550407188991,0.9176403246185559,0.9111648528650345,0.909886032335012
classification_only,radial,3,6723,0.9445072798451658,0.9476424215380038,0.9476424215380038,0.9427516713464367,0.9466423360386903,0.9466423360386903,0.9260092592592594,0.9297912713472486,0.9297912713472486,0.9594940834336141,0.963493400730132,0.963493400730132,0.9491235580806238,0.9513869780519143,0.9512059883559745
classification_only,gaussian_noise,3,6723,0.918167733350928,0.9366354306113341,0.9366354306113343,0.923528719302937,0.9397955502553224,0.9397955502553224,0.9906604938271605,0.9930423782416192,0.9930423782416192,0.8563969447787138,0.8865487222690255,0.8865487222690256,0.9166386553131671,0.9359452189650193,0.9367952522255193
classification_only,shot_noise,3,6723,0.9117742148324096,0.9320243938717834,0.9320243938717835,0.9169499598876856,0.9352479448718912,0.9352479448718912,0.9889537037037037,0.9895635673624289,0.9895635673624289,0.8449462160716673,0.8809323223813535,0.8809323223813535,0.9090547484158297,0.9314514641282207,0.9321051849650869
classification_only,jpeg,3,6723,0.9497571478842263,0.9564182656552135,0.9564182656552135,0.9521450394437759,0.9582574666413023,0.9582574666413023,0.986074074074074,0.989247311827957,0.989247311827957,0.9182160048134778,0.9272676214546475,0.9272676214546476,0.9514626056944199,0.957197435383711,0.9575177613455126
dino_detect,gaussian,3,6723,0.9732676937626463,0.9772423025435074,0.9772423025435074,0.9722583288764096,0.9772415909864774,0.9772415909864774,0.9702253086419753,0.9772296015180265,0.9772296015180265,0.9742913491108438,0.9772535804549284,0.9772535804549284,0.9748424644116818,0.9784956105749539,0.9784900885702236
dino_detect,defocus,3,6723,0.9323733504882554,0.9309831920273687,0.9309831920273688,0.9285022117484513,0.9282410330765455,0.9282410330765456,0.8811697530864198,0.8820366856419987,0.8820366856419988,0.9758346704104827,0.9744453805110923,0.9744453805110924,0.9390116008790431,0.9379540175303657,0.9373311723392761
dino_detect,box,3,6723,0.9038354227148764,0.8943923843522237,0.8943923843522237,0.8966735080447474,0.8892884490263753,0.8892884490263753,0.8159753086419753,0.8032890575585073,0.8032890575585073,0.9773717074475196,0.9752878404942432,0.9752878404942432,0.9166183281075323,0.9088717384265322,0.9072622779519331
dino_detect,radial,3,6723,0.9525310877980119,0.9544846050870147,0.9544846050870147,0.950434477648527,0.9533669624601749,0.953366962460175,0.9291635802469136,0.9345351043643264,0.9345351043643264,0.9717053750501403,0.9721988205560236,0.9721988205560236,0.9560914979193119,0.9578245227481035,0.9576763485477179
dino_detect,gaussian_noise,3,6723,0.9366318179818774,0.9486836233824185,0.9486836233824185,0.9396533126086375,0.9507612513168433,0.9507612513168433,0.9844444444444443,0.9857685009487666,0.9857685009487666,0.8948621807728306,0.9157540016849199,0.9157540016849199,0.9367262009730662,0.9492520007597641,0.9497597204019222
dino_detect,shot_noise,3,6723,0.9296548341690859,0.9433288710397144,0.9433288710397144,0.9329297700227303,0.9455470314875414,0.9455470314875414,0.9842037037037037,0.9829222011385199,0.9829222011385199,0.8816558363417569,0.9081718618365627,0.9081718618365627,0.9287625011719944,0.9438723134343775,0.94437144108629
dino_detect,jpeg,3,6723,0.9603410420515527,0.9629629629629629,0.9629629629629629,0.9616518083968445,0.964222893277212,0.964222893277212,0.98375,0.9854522454142947,0.9854522454142948,0.9395536167936891,0.9429935411401291,0.9429935411401292,0.962095952014149,0.9640100611540974,0.9642498205312275
